Avatar:TheWayofWater | Gross: $684075767 | Release: 12/16/23 | Distributor: 20thCenturyStudios

Barbie | Gross: $594254460 | Release: 7/21/23 | Distributor: WarnerBros.

TheSuperMarioBros.Movie | Gross: $574759600 | Release: 4/5/23 | Distributor: UniversalPictures

BlackPanther:WakandaForever | Gross: $453829060 | Release: 11/11/23 | Distributor: WaltDisneyStudiosMotionPictures

Spider-Man:AcrosstheSpider-Verse | Gross: $381178195 | Release: 6/2/23 | Distributor: ColumbiaPictures

GuardiansoftheGalaxyVol.3 | Gross: $358995815 | Release: 5/5/23 | Distributor: WaltDisneyStudiosMotionPictures

Oppenheimer | Gross: $300144670 | Release: 7/21/23 | Distributor: UniversalPictures

TheLittleMermaid | Gross: $297895447 | Release: 5/26/23 | Distributor: WaltDisneyStudiosMotionPictures

Ant-ManandtheWasp:Quantumania | Gross: $214504909 | Release: 2/17/23 | Distributor: WaltDisneyStudiosMotionPictures

JohnWick:Chapter4 | Gross: $187131806 | Release: 3/24/23 | Distributor: Lionsgate

PussinBoots:TheLastWish | Gross: $185535345 | Release: 12/21/23 | Distributor: UniversalPictures

SoundofFreedom | Gross: $180587629 | Release: 7/4/23 | Distributor: AngelStudios

IndianaJonesandtheDialofDestiny | Gross: $174116627 | Release: 6/30/23 | Distributor: WaltDisneyStudiosMotionPictures

Mission:Impossible-DeadReckoningPartOne | Gross: $168248955 | Release: 7/12/23 | Distributor: ParamountPictures

Transformers:RiseoftheBeasts | Gross: $157066392 | Release: 6/9/23 | Distributor: ParamountPictures

CreedIII | Gross: $156248615 | Release: 3/3/23 | Distributor: UnitedArtistsReleasing

Elemental | Gross: $151692473 | Release: 6/16/23 | Distributor: WaltDisneyStudiosMotionPictures

FastX | Gross: $145960660 | Release: 5/19/23 | Distributor: UniversalPictures

ScreamVI | Gross: $108161389 | Release: 3/10/23 | Distributor: ParamountPictures

TheFlash | Gross: $108133313 | Release: 6/16/23 | Distributor: WarnerBros.

TeenageMutantNinjaTurtles:MutantMayhem | Gross: $99847538 | Release: 8/2/23 | Distributor: ParamountPictures

M3GAN | Gross: $95043350 | Release: 1/6/23 | Distributor: UniversalPictures

Dungeons&Dragons:HonorAmongThieves | Gross: $93277026 | Release: 3/31/23 | Distributor: ParamountPictures

Insidious:TheRedDoor | Gross: $82042800 | Release: 7/7/23 | Distributor: ScreenGems

EverythingEverywhereAllatOnce | Gross: $77191785 | Release: 3/25/23 | Distributor: A24

Meg2:TheTrench | Gross: $74469810 | Release: 8/4/23 | Distributor: WarnerBros.

EvilDeadRise | Gross: $67233054 | Release: 4/21/23 | Distributor: WarnerBros.

CocaineBear | Gross: $64388510 | Release: 2/24/23 | Distributor: UniversalPictures

AManCalledOtto | Gross: $64267657 | Release: 12/30/23 | Distributor: ColumbiaPictures

HauntedMansion | Gross: $62291150 | Release: 7/28/23 | Distributor: WaltDisneyStudiosMotionPictures

Shazam!FuryoftheGods | Gross: $57638006 | Release: 3/17/23 | Distributor: WarnerBros.

Air | Gross: $52460106 | Release: 4/5/23 | Distributor: '-

JesusRevolution | Gross: $52102987 | Release: 2/24/23 | Distributor: Lionsgate

NoHardFeelings | Gross: $50452282 | Release: 6/23/23 | Distributor: SonyPicturesEntertainment(SPE)

ViolentNight | Gross: $50057405 | Release: 12/2/23 | Distributor: UniversalPictures

LyleLyleCrocodile | Gross: $46888441 | Release: 10/7/23 | Distributor: SonyPicturesEntertainment(SPE)

BlueBeetle | Gross: $46566539 | Release: 8/18/23 | Distributor: WarnerBros.

TheBoogeyman | Gross: $43244282 | Release: 6/2/23 | Distributor: WaltDisneyStudiosMotionPictures

TalktoMe | Gross: $41066389 | Release: 7/28/23 | Distributor: A24

80forBrady | Gross: $39330588 | Release: 2/3/23 | Distributor: ParamountPictures

TheMenu | Gross: $38501125 | Release: 11/18/23 | Distributor: SearchlightPictures

StrangeWorld | Gross: $37968963 | Release: 11/23/23 | Distributor: WaltDisneyStudiosMotionPictures

KnockattheCabin | Gross: $35397980 | Release: 2/3/23 | Distributor: UniversalPictures

Missing | Gross: $32502025 | Release: 1/20/23 | Distributor: SonyPicturesEntertainment(SPE)

Plane | Gross: $32111181 | Release: 1/13/23 | Distributor: Lionsgate

65 | Gross: $32062904 | Release: 3/10/23 | Distributor: SonyPicturesEntertainment(SPE)

AsteroidCity | Gross: $28049165 | Release: 6/16/23 | Distributor: FocusFeatures

MagicMike'sLastDance | Gross: $26005156 | Release: 2/10/23 | Distributor: WarnerBros.

WhitneyHouston:IWannaDancewithSomebody | Gross: $23708080 | Release: 12/23/23 | Distributor: TriStarPictures

Devotion | Gross: $20511938 | Release: 11/23/23 | Distributor: ColumbiaPictures

AreYouThereGod?It'sMeMargaret. | Gross: $20372406 | Release: 4/28/23 | Distributor: Lionsgate

ThePope'sExorcist | Gross: $20009380 | Release: 4/14/23 | Distributor: ScreenGems

GranTurismo | Gross: $18541753 | Release: 8/25/23 | Distributor: SonyPicturesEntertainment(SPE)

TheBlackening | Gross: $17707207 | Release: 6/16/23 | Distributor: Lionsgate

BookClub:TheNextChapter | Gross: $17556340 | Release: 5/12/23 | Distributor: FocusFeatures

Pathaan | Gross: $17487476 | Release: 1/25/23 | Distributor: YashRajFilmsUSAInc.

TheWhale | Gross: $17463630 | Release: 12/9/23 | Distributor: A24

TheFabelmans | Gross: $17348945 | Release: 11/11/23 | Distributor: UniversalPictures

Renfield | Gross: $17152625 | Release: 4/14/23 | Distributor: UniversalPictures

